Incoming Examinations,Year,Month
698,2007,12
xx?*&?/..,2010,6
1934,2010,11
2294,2010,12
962,2009,4
724,2008,3
4978,2013,8
99999999,2008,12
3383,2011,9
4610,2013,1
436,2006,2
467,2007,6
508,2006,5
4874,2013,11
2869,2011,10
2217,2011,6
1808,2010,9
2940,2012,3
4730,2013,5
362,2006,1
3446,2012,9
3694,2012,12
1263,2009,3
490,2006,4
890,2009,8
3466,2012,5
840,2008,2
2334,2011,2
1004,2009,1
613,2006,10
1604,2010,4
4706,2013,6
4841,2013,2
Closed for Holidays,2011,12
*,2010,2
775,2008,6
634,2006,9
1276,2009,10
1320,2009,9
3455,2012,2
886,2007,10
1973,2011,3
2739,2011,7
311,2007,2
999999999,2011,1
939,2008,11
545,2006,11
3946,2012,7
2239,2011,11
1041,2008,8
411,2006,12
3258,2012,10
entered by J.f. williams,2009,5
1115,2008,4
*,2010,1
4729,2012,11
5008,2013,9
*,2006,3
*,2009,12
1011,2008,9
1065,2009,2
2262,2011,4
3459,2012,8
596,2006,8
776,2007,11
1866,2010,10
5000,2013,7
1578,2010,3
393,2006,7
*,2013,12
*,2006,6
1457,2010,7
398,2007,1
3037,2012,6
1758,2010,5
886,2008,7
806,2007,8
566,2007,7
2789,2012,1
2968,2012,4
5172,2013,3
1429,2009,6
2259,2011,5
6094,2013,10
1757,2009,11
1607,2010,8
3110,2008,10
107,2007,5
875,2008,1
2772,2011,8
997,2008,5
664,2007,3
680,2007,4
4351,2013,4
1205,2009,7
732,2007,9
